,year,nger_name,scope1,scope2,energy_consumption,total_emissions
400,2010,mars australia,32153.0,96577.0,934209.0,128730.0
401,2010,mccain foods (aust),34088.0,79793.0,1235769.0,113881.0
402,2010,mcdonald's australia,2871.0,128991.0,530434.0,131862.0
403,2010,melbourne water 1,189503.0,230532.0,1728167.0,420035.0
404,2010,metro trains melbourne,3693.0,281611.0,885083.0,285304.0
405,2010,metropolitan health service,24488.0,126659.0,984181.0,151147.0
406,2010,millennium inorganic chemicals,127010.0,77869.0,2434168.0,204879.0
407,2010,minara resources,568356.0,263.0,9903265.0,568619.0
408,2010,mirvac,12450.0,234257.0,1106351.0,246707.0
409,2010,mitchell corp australia,100362.0,1007.0,1578920.0,101369.0
410,2010,mmg management,162728.0,276572.0,4104082.0,439300.0
411,2010,mml,22267.0,88530.0,745788.0,110797.0
412,2010,monash university,17968.0,120910.0,700780.0,138878.0
413,2010,mount gibson iron,110923.0,730.0,1594218.0,111653.0
414,2010,multinet,274966.0,2705.0,28423.0,277671.0
415,2010,murray goulburn co-operative co.,145795.0,491733.0,5111806.0,637528.0
