,year,nger_name,scope1,scope2,energy_consumption,total_emissions,morningstar_name,match_score,ticker
2287,2015,commonwealth bank of australia,8108.0,101125.0,546060.0,8108101125.0,commonwealth bank of australia,100.0,CBA
2298,2015,crown resorts,23991.0,153602.0,942440.0,23991153602.0,crown resorts,100.0,CWN
2300,2015,csl,15078.0,73814.0,518084.0,1507873814.0,csl,100.0,CSL
2301,2015,csr,348304.0,233714.0,6563445.0,348304233714.0,csr,100.0,CSR
2304,2015,david jones,5321.0,82204.0,362380.0,532182204.0,david jones,100.0,DJS
2308,2015,dexus,15012.0,133574.0,703284.0,15012133574.0,dexus,100.0,DXS
2311,2015,downer edi,162624.0,49979.0,2970344.0,16262449979.0,downer edi,100.0,DOW
2321,2015,energy developments,1318296.0,2425.0,19988311.0,13182962425.0,energy developments,100.0,ENE1
2324,2015,erm power,387164.0,5210.0,5551029.0,3871645210.0,erm power,100.0,EPW
2327,2015,event hospitality and entertainment,11505.0,135897.0,788311.0,11505135897.0,event hospitality and entertainment,100.0,EVT
2329,2015,evolution mining,80619.0,203565.0,2093446.0,80619203565.0,evolution mining,100.0,EVN
2332,2015,fairfax media,6241.0,43900.0,279427.0,624143900.0,fairfax media,100.0,FXJ
2339,2015,fortescue metals,1550294.0,374074.0,24361575.0,1550294374074.0,fortescue metals,100.0,FMG
2340,2015,foster's,40439.0,79944.0,933357.0,4043979944.0,foster's,100.0,FGL1
2355,2015,graincorp,107651.0,170025.0,2431588.0,107651170025.0,graincorp,100.0,GNC
2356,2015,grange resources,202473.0,49990.0,4274178.0,20247349990.0,grange resources,100.0,GRR
2362,2015,harvey norman,6478.0,133619.0,649783.0,6478133619.0,harvey norman,100.0,HVN
2363,2015,healthscope,14394.0,94821.0,676661.0,1439494821.0,healthscope,100.0,HSO
2365,2015,hillgrove resources,36504.0,27833.0,827994.0,3650427833.0,hillgrove resources,100.0,HGO
