ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACW,Actinogen Medical Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , ,"13,221.00","105,985.00","147,530.00","144,308.00","137,376.00","120,451.00","106,637.00","6,755.00","8,358.00","2,266.00",0.00,0.00,"391,042.00","253,957.00","168,971.00"
ACX,Aconex Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , ,"2,800,000.00","2,876,000.00","6,085,000.00","9,400,000.00", , , , , 
ACY,Australian Commercial Property Trust ,Annual Balance Sheet - NCA PP&E,--,--, , , , , , , , , , , , , , , , , , , , , 
AD1,AD1 Holdings Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , ,"11,994.00","8,691.00","33,868.00","34,586.00","56,847.00","177,397.00","103,717.00","262,306.00"
AD8,Audinate Group limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , ,"357,000.00","365,447.00","691,011.00","1,013,000.00","3,936,000.00","3,401,000.00","3,521,000.00"
ADA,Adacel Technologies Limited,Annual Balance Sheet - NCA PP&E,"3,243,000.00","5,126,000.00","6,316,000.00","4,104,000.00","1,354,000.00","877,000.00","870,000.00","1,282,000.00","1,294,000.00","1,508,000.00","1,405,000.00","960,000.00","835,000.00","610,000.00","1,992,000.00","1,836,000.00","1,658,000.00","1,181,000.00","1,041,000.00","834,000.00","7,631,000.00","6,454,000.00","5,665,553.00"
ADB,Adelaide Bank Limited,Annual Balance Sheet - NCA PP&E,--,--,--,--,--,--,--,--, , , , , , , , , , , , , , , 
ADD,Adavale Resources Limited,Annual Balance Sheet - NCA PP&E,"1,828,745.00","2,128,926.00","1,017,877.00","270,288.00","153,962.00","91,619.00",--,"12,633.00","14,220.00","6,341.00","1,396,017.00","2,021,056.00","2,386,147.00","2,471.00",885.00,0.00,0.00,0.00,--,--,--,"32,685.00", 
ADE,Adelaide Energy Limited,Annual Balance Sheet - NCA PP&E, , , , , , , ,"2,220.00","87,722.00","3,993,493.00","8,848,385.00","7,772,321.00", , , , , , , , , , , 
ADEF,Apostle Dundas Global Equity Fund,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , , , , , , ,--, 
ADG,Adtrans Group Limited,Annual Balance Sheet - NCA PP&E,"13,424,565.00","14,301,000.00","16,161,000.00","17,020,000.00","24,946,000.00","25,531,000.00","34,476,000.00","38,565,000.00","43,511,000.00","40,778,000.00","38,022,000.00", , , , , , , , , , , , 
ADH,Adairs Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , ,"9,219,000.00","10,944,000.00","16,007,000.00","20,188,000.00","20,890,000.00","20,868,000.00","115,218,000.00","110,747,000.00","189,573,000.00"
ADI2,Adelphi Energy Limited,Annual Balance Sheet - NCA PP&E,"353,000.00","1,400,000.00","104,500.00",--,--,0.00,0.00,0.00,0.00,0.00, , , , , , , , , , , , , 
ADN,Andromeda Metals Limited,Annual Balance Sheet - NCA PP&E,"29,020.00","19,278.00","12,424.00","21,672.00","27,737.00","20,651.00","23,018.00","40,004.00","72,650.00","69,475.00","260,579.00","309,140.00","315,196.00","299,955.00","177,347.00","68,853.00","24,920.00","4,260.00","7,750.00","11,899.00","150,547.00","212,960.00", 
ADO,AnteoTech Limited,Annual Balance Sheet - NCA PP&E,"291,747.00","728,744.00","1,007,806.00","1,273,367.00","736,924.00","123,161.00","480,951.00","475,930.00","211,926.00","301,591.00","242,102.00","281,874.00","282,745.00","250,891.00","352,532.00","540,123.00","22,949,871.00","380,955.00","279,103.00","311,597.00","530,570.00","1,886,419.00","4,015,064.00"
ADP,AMP Diversified Property Trust,Annual Balance Sheet - NCA PP&E,--,--,--,--, , , , , , , , , , , , , , , , , , , 
ADQ,ADG Global Supply Limited,Annual Balance Sheet - NCA PP&E,"5,423,766.00","6,187,626.00","5,559,084.00","6,068,484.00","5,732,003.00","5,683,126.00","4,070,633.00",--,"570,540.00","570,016.00","465,827.00","347,014.00","326,000.00","1,115,000.00","870,000.00",--, , , , , , , 
ADR,Adherium Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , ,"166,000.00","298,000.00","417,000.00","515,000.00","380,000.00","235,000.00","127,000.00","313,000.00"
ADS,Adslot Ltd,Annual Balance Sheet - NCA PP&E,"699,494.00","296,941.00","175,230.00","131,940.00","508,933.00","440,283.00","52,716.00","347,043.00","647,310.00","231,962.00","129,133.00","197,039.00","167,738.00","130,079.00","100,078.00","74,296.00","65,518.00","243,744.00","832,833.00","601,239.00","1,845,736.00","1,780,962.00","2,237,912.00"
ADT,Adriatic Metals Plc,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , , ,"1,065,584.00","1,111,657.00","1,302,850.00","2,081,664.00","42,079,172.00", 
ADT1,Advent Limited,Annual Balance Sheet - NCA PP&E,--,--,--,--,--,--,--,--, , , , , , , , , , , , , , , 
ADU,Adamus Resources Limited,Annual Balance Sheet - NCA PP&E,0.00,"12,610.00","9,671.00","14,987.00","127,753.00","88,141.00","70,275.00","51,340.00","95,518.00","85,891.00","54,698,871.00","123,072,010.00", , , , , , , , , , , 
ADV,Ardiden Limited,Annual Balance Sheet - NCA PP&E, , , , , ,0.00,"40,398.00","34,244.00","13,837.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,883.00,"1,302.00","77,313.00","86,454.00","286,383.00", 
ADV1,Australian Development Capital Fund,Annual Balance Sheet - NCA PP&E,0.00,0.00,0.00,0.00, , , , , , , , , , , , , , , , , , , 
